Borough,Bedrooms,Bathrooms,FloorArea,PropertyAge,Price
Wandsworth,3,2,101.6,Pre-1900,1037062
Wandsworth,2,1,64.5,1950-1980,820588
Haringey,1,1,32.5,1950-1980,627429
Greenwich,3,2,91.6,1980-2000,867301
Greenwich,2,1,56.9,Pre-1900,812640
Ealing,3,2,83.1,1980-2000,850715
Camden,4,2,133.6,1950-1980,1324555
Ealing,2,1,79.4,1950-1980,862063
Camden,2,1,53.9,1900-1950,1042242
Camden,2,2,59.6,Pre-1900,1138943
Waltham Forest,2,1,57.2,Post-2000,855545
Greenwich,3,2,59.8,1900-1950,814912
Newham,2,1,51.0,1980-2000,615837
Lewisham,1,1,52.0,Post-2000,675535
Bromley,1,1,25.0,1950-1980,602407
Barking and Dagenham,2,1,87.7,1950-1980,651090
Barking and Dagenham,2,1,73.6,1900-1950,722954
Ealing,3,2,90.0,Post-2000,895681
Hackney,2,1,64.4,1980-2000,901533
Islington,1,1,25.0,1980-2000,759631
Ealing,2,1,52.0,1950-1980,741639
Tower Hamlets,4,3,133.6,Post-2000,1149738
Camden,1,1,25.0,1980-2000,746558
Tower Hamlets,3,1,99.9,1900-1950,1039697
Lambeth,2,1,35.3,1950-1980,731633
Bromley,3,2,66.0,1950-1980,787537
Croydon,1,1,56.5,Pre-1900,679299
Haringey,4,2,111.8,Post-2000,1098742
Bromley,3,1,75.9,Pre-1900,896768
Waltham Forest,3,2,104.4,1950-1980,956909
Haringey,1,1,46.7,1900-1950,766509
Waltham Forest,3,2,97.8,1900-1950,995378
Wandsworth,3,2,75.5,1950-1980,940835
Hackney,2,2,51.7,Post-2000,868060
Hackney,2,2,60.7,1950-1980,783903
Croydon,3,2,94.4,1900-1950,828315
Haringey,1,1,25.0,1980-2000,684902
Croydon,3,1,86.6,1900-1950,759890
Croydon,1,1,32.0,Pre-1900,611270
Kensington and Chelsea,1,1,47.3,Pre-1900,1186809
Westminster,3,2,95.3,Pre-1900,1266865
Haringey,1,1,25.0,1950-1980,582051
Islington,5,3,136.8,1950-1980,1298259
Barking and Dagenham,4,3,98.1,1900-1950,853453
Newham,3,2,92.5,1980-2000,912375
Newham,3,2,97.8,Pre-1900,837942
Tower Hamlets,4,3,113.5,Post-2000,1086205
Barking and Dagenham,2,2,52.0,1950-1980,590234
Greenwich,3,2,85.0,Pre-1900,845057
Bromley,1,1,31.1,Post-2000,683213
Greenwich,2,1,46.4,1900-1950,708674
Newham,2,1,37.7,1950-1980,620397
Islington,3,2,53.2,1900-1950,1021114
Croydon,1,1,47.0,1980-2000,547388
Waltham Forest,2,1,63.4,1950-1980,761569
Hackney,3,2,89.4,Pre-1900,980154
Southwark,2,1,75.0,Pre-1900,916623
Camden,3,2,65.2,1980-2000,1050341
Brent,3,2,58.0,1900-1950,773102
Wandsworth,1,1,33.8,Pre-1900,726126
Westminster,1,1,32.4,1950-1980,947862
Lewisham,3,2,58.0,Post-2000,815042
Newham,2,1,61.4,1900-1950,708689
Tower Hamlets,1,1,25.0,1900-1950,684419
Tower Hamlets,2,1,43.9,Post-2000,824896
Southwark,2,2,51.0,Pre-1900,794310
Hammersmith and Fulham,1,1,25.0,1980-2000,808417
Tower Hamlets,2,1,47.1,Post-2000,756476
Haringey,3,1,73.4,Post-2000,946362
Ealing,2,1,64.4,Pre-1900,773821
Croydon,3,2,81.6,1900-1950,806670
Southwark,1,1,37.6,Pre-1900,782214
Haringey,2,2,25.0,Post-2000,726361
Greenwich,3,1,71.4,Post-2000,828499
Westminster,3,2,92.3,1900-1950,1352703
Westminster,3,2,79.4,1980-2000,1263172
Newham,3,2,96.7,Post-2000,874802
Barking and Dagenham,3,2,56.9,1900-1950,680618
Hackney,1,1,39.0,1900-1950,761330
Brent,3,2,74.4,Pre-1900,888091
Barking and Dagenham,3,2,73.0,1950-1980,774936
Waltham Forest,5,3,154.9,Post-2000,1248519
Islington,3,2,101.4,Post-2000,1184489
Ealing,3,1,99.5,Pre-1900,1016368
Westminster,2,1,86.6,1900-1950,1265225
Newham,4,2,131.0,1950-1980,1034983
Newham,5,3,128.1,1980-2000,1064762
Lambeth,3,2,86.1,1980-2000,854088
Greenwich,3,2,78.6,1950-1980,788064
Kensington and Chelsea,1,1,58.4,1950-1980,1174804
Haringey,3,2,100.6,Pre-1900,1023521
Hackney,3,2,81.2,1950-1980,954128
Brent,3,2,97.2,Post-2000,1059576
Kensington and Chelsea,1,1,25.0,Pre-1900,1072921
Greenwich,3,3,87.8,1950-1980,885155
Greenwich,2,1,41.9,1900-1950,667044
Greenwich,3,2,58.7,1950-1980,775262
Islington,1,1,39.8,1950-1980,790039
Barking and Dagenham,3,1,97.6,1950-1980,873781
Kensington and Chelsea,2,1,62.9,Post-2000,1340207
Greenwich,1,1,25.3,1950-1980,525273
Brent,3,2,65.0,1950-1980,814811
Haringey,1,1,25.0,Pre-1900,691957
Brent,3,2,69.5,1980-2000,883636
Westminster,4,2,108.5,1900-1950,1382254
Haringey,5,4,156.1,Post-2000,1403501
Southwark,1,1,43.9,1900-1950,740415
Bromley,3,1,59.3,Pre-1900,822965
Lewisham,2,1,45.6,1900-1950,679249
Brent,4,2,101.2,Post-2000,1036618
Waltham Forest,3,3,46.0,1900-1950,769734
Tower Hamlets,1,1,36.5,Pre-1900,719969
Waltham Forest,2,1,52.3,Pre-1900,759764
Tower Hamlets,2,1,54.3,1900-1950,771267
Brent,3,2,104.2,Pre-1900,948891
Brent,2,1,57.3,1950-1980,721129
Kensington and Chelsea,3,1,77.5,1900-1950,1400548
Lambeth,3,2,92.6,1950-1980,967806
Kensington and Chelsea,5,3,155.9,Pre-1900,1715012
Bromley,4,2,116.4,1950-1980,975401
Camden,2,1,66.3,1950-1980,963935
Haringey,3,2,81.8,Pre-1900,1031524
Ealing,3,2,82.8,1950-1980,919161
Hackney,4,2,113.7,1900-1950,1136763
Hammersmith and Fulham,1,1,25.0,1900-1950,902607
Barking and Dagenham,2,1,47.5,1980-2000,657799
Islington,2,1,76.7,1950-1980,909724
Ealing,2,2,86.1,1980-2000,865736
Southwark,1,1,51.9,1900-1950,751641
Hackney,2,2,36.2,1900-1950,796813
Newham,3,2,62.7,1900-1950,763461
Wandsworth,2,1,38.1,1950-1980,784740
Waltham Forest,3,2,86.0,1950-1980,841779
Lewisham,1,1,25.0,1900-1950,651178
Hammersmith and Fulham,4,2,103.2,1980-2000,1218314
Lambeth,4,2,133.1,Pre-1900,1169154
Tower Hamlets,3,2,98.7,Post-2000,1070394
Southwark,4,3,104.4,Pre-1900,1116877
Haringey,1,1,25.0,1980-2000,666933
Greenwich,3,2,92.5,1950-1980,889054
